instance_id,base_instance_id,gate,component_size,separation,n_tiers,seed,x,y,n_k,shd_truth,shd_cpdag,undirected_fraction,z_size,z_star,n_dir_g0,s0_ok,r_val,r_status,r_method,r_oracle,r_exact,r_assumes,r_witness,r_search_seconds,r_ladder_seconds,r_total_seconds,wall_until_timeout_s,r_stat_elements_visited,r_stat_closures,r_stat_validity_checks,r_stat_extensions_enumerated,n_grid_points_tiered,n_grid_points_unresolved_tiered,n_grid_points_flip,n_grid_points_unresolved_flip,contradiction_rate_overall_tiered,contradiction_rate_overall_flip,AUC_intensity_usable_tiered,AUC_intensity_usable_flip
c06_s01_cov100_seed00000002_xarm_nt2,c06_s01_cov100_seed00000002,fast_gate,6,1,2,2,X,Y,2,3,3,0.6666666666666666,2,"C00,W",6,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y W->Y X->C04 X->Y C00-C03 C00-C05 C00-X C02-X,0.0002442499999999459,0.0,0.0002442499999999459,,1,3,2,0,10,0,2,0,0.3545,0.0,0.5652353066337691,
c06_s01_cov100_seed00000011_xarm_nt2,c06_s01_cov100_seed00000011,fast_gate,6,1,2,11,X,Y,4,2,4,0.6666666666666666,2,"C00,W",7,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C04 C00->C05 C00->Y C02->C04 W->Y X->Y C00-C02 C00-C03 C00-X,0.00022979200000006195,0.0,0.00022979200000006195,,1,4,3,0,10,0,4,2,0.218,0.62375,0.7497190738622578,0.7637871287128712
c06_s01_cov100_seed00000019_xarm_nt2,c06_s01_cov100_seed00000019,fast_gate,6,1,2,19,X,Y,1,3,3,0.6666666666666666,2,"C00,W",6,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C02 X->C03 X->Y C00-C04 C00-C05 C00-X C02-C03,0.000269542000000067,0.0,0.000269542000000067,,1,3,2,0,10,0,1,0,0.459,0.0,0.5470214166259764,
c06_s01_cov100_seed00000021_xarm_nt2,c06_s01_cov100_seed00000021,fast_gate,6,1,2,21,X,Y,2,2,3,0.625,2,"C00,W",6,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C02->C03 W->Y X->C04 X->Y C00-C02 C00-C05 C00-X,0.00021595799999984955,0.0,0.00021595799999984955,,1,3,3,0,10,0,2,1,0.395,0.5,0.6781419962270718,0.46
c06_s01_cov100_seed00000023_xarm_nt2,c06_s01_cov100_seed00000023,fast_gate,6,1,2,23,X,Y,4,2,4,0.6666666666666666,2,"C00,W",7,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->Y C02->C03 C02->C04 W->Y X->Y C00-C02 C00-C05 C00-X,0.00024945900000017396,0.0,0.00024945900000017396,,1,4,4,0,10,0,4,2,0.2445,0.6325,0.7231989038571308,0.719468085106383
c06_s01_cov100_seed00000024_xarm_nt2,c06_s01_cov100_seed00000024,fast_gate,6,1,2,24,X,Y,3,2,3,0.625,2,"C00,W",6,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C04 C00->Y C02->C05 W->Y X->Y C00-C02 C00-C03 C00-X,0.0002093330000003668,0.0,0.0002093330000003668,,1,3,3,0,10,0,3,2,0.254,0.6666666666666666,0.7133190650903656,0.66
c06_s01_cov100_seed00000030_xarm_nt2,c06_s01_cov100_seed00000030,fast_gate,6,1,2,30,X,Y,4,2,4,0.6666666666666666,2,"C00,W",7,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->Y C02->C03 C02->C04 W->Y X->Y C00-C02 C00-C05 C00-X,0.00019137499999999363,0.0,0.00019137499999999363,,1,4,4,0,10,0,4,2,0.2665,0.62625,0.698317783078741,0.7257828282828283
c06_s01_cov100_seed00000036_xarm_nt2,c06_s01_cov100_seed00000036,fast_gate,6,1,2,36,X,Y,3,2,3,0.625,2,"C00,W",6,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C02->C05 C03->C04 W->Y X->Y C00-C02 C00-C03 C00-X,0.00021674999999987676,0.0,0.00021674999999987676,,1,3,4,0,10,0,3,2,0.2935,0.6666666666666666,0.7273610095054245,0.69
c06_s01_cov100_seed00000040_xarm_nt2,c06_s01_cov100_seed00000040,fast_gate,6,1,2,40,X,Y,1,2,3,0.625,2,"C00,W",6,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C02->C03 W->Y X->C02 X->Y C00-C04 C00-C05 C00-X,0.00019520800000005778,0.0,0.00019520800000005778,,1,3,2,0,10,0,1,0,0.4915,0.0,0.564819175889175,
c06_s01_cov100_seed00000047_xarm_nt2,c06_s01_cov100_seed00000047,fast_gate,6,1,2,47,X,Y,3,2,3,0.625,2,"C00,W",6,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C05 C00->Y C02->C03 W->Y X->Y C00-C02 C00-C04 C00-X,0.00019516699999977405,0.0,0.00019516699999977405,,1,3,3,0,10,0,3,2,0.2615,0.6666666666666666,0.717402357362948,0.67
