base_id,component_size,separation,base_seed,treatment,outcome,proposal_id,proposal_size,label,n_on_path,orientations,gate,status,assumes,method,oracle,exact,radius_timed_out,r_val,z_p,utility_median,utility_q25,utility_q75,n_sem_valid,n_sem_total,mean_abs_bias,median_abs_bias,n_bias_valid,n_bias_contradictory,n_bias_optimal_undefined,n_bias_untractable,n_bias_total,front_utility,front_bias
c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0000_k01,1,conservative,0,C00->C04,fast_gate,optimal_set_undefined,,,,,,,,,,,0,20,,,0,0,0,0,50,False,False
c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0001_k01,1,conservative,0,C00->X,fast_gate,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",local_up_fast,mpdag_criterion,True,False,1,C00;W,1.0645732495479638,0.7684165870526118,1.4529029681923424,20,20,1.1102230246251565e-16,1.1102230246251565e-16,50,0,0,0,50,True,True
c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0002_k01,1,conservative,0,C02->C03,fast_gate,optimal_set_undefined,,,,,,,,,,,0,20,,,0,0,0,0,50,False,False
c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0003_k01,1,conservative,0,X->C02,fast_gate,optimal_set_undefined,,,,,,,,,,,0,20,,,0,0,0,0,50,False,False
c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0004_k01,1,conservative,0,X->C03,fast_gate,optimal_set_undefined,,,,,,,,,,,0,20,,,0,0,0,0,50,False,False
c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0005_k01,1,conservative,0,X->C04,fast_gate,optimal_set_undefined,,,,,,,,,,,0,20,,,0,0,0,0,50,False,False
c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0006_k02,2,conservative,0,C00->C02;C00->C04,fast_gate,optimal_set_undefined,,,,,,,,,,,0,20,,,0,0,0,0,50,False,False
c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0007_k02,2,conservative,0,C00->C04;X->C03,fast_gate,optimal_set_undefined,,,,,,,,,,,0,20,,,0,0,0,0,50,False,False
c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0008_k02,2,conservative,0,C00->C04;C04->C05,fast_gate,optimal_set_undefined,,,,,,,,,,,0,20,,,0,0,0,0,50,False,False
c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0009_k02,2,conservative,0,C00->C05;X->C02,fast_gate,optimal_set_undefined,,,,,,,,,,,0,20,,,0,0,0,0,50,False,False
c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0010_k02,2,conservative,0,C00->X;X->C03,fast_gate,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",local_up_fast,mpdag_criterion,True,False,1,C00;W,1.0645732495479638,0.7684165870526118,1.4529029681923424,20,20,1.1102230246251565e-16,1.1102230246251565e-16,50,0,0,0,50,True,True
c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0011_k02,2,conservative,0,C00->X;X->C04,fast_gate,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",local_up_fast,mpdag_criterion,True,False,1,C00;W,1.0645732495479638,0.7684165870526118,1.4529029681923424,20,20,1.1102230246251565e-16,1.1102230246251565e-16,50,0,0,0,50,True,True
c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0012_k03,3,conservative,0,C00->C02;C00->X;X->C02,fast_gate,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",local_up_fast,mpdag_criterion,True,False,1,C00;W,1.0645732495479638,0.7684165870526118,1.4529029681923424,20,20,1.1102230246251565e-16,1.1102230246251565e-16,50,0,0,0,50,True,True
c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0013_k03,3,conservative,0,C00->C04;C00->C05;X->C03,fast_gate,optimal_set_undefined,,,,,,,,,,,0,20,,,0,0,0,0,50,False,False
c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0014_k03,3,conservative,0,C00->C04;C02->C03;X->C04,fast_gate,optimal_set_undefined,,,,,,,,,,,0,20,,,0,0,0,0,50,False,False
c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0015_k03,3,conservative,0,C00->C05;X->C02;X->C04,fast_gate,optimal_set_undefined,,,,,,,,,,,0,20,,,0,0,0,0,50,False,False
c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0016_k03,3,conservative,0,C00->X;C02->C03;X->C02,fast_gate,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",local_up_fast,mpdag_criterion,True,False,1,C00;W,1.0645732495479638,0.7684165870526118,1.4529029681923424,20,20,1.1102230246251565e-16,1.1102230246251565e-16,50,0,0,0,50,True,True
c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0017_k03,3,conservative,0,C02->C03;X->C02;X->C04,fast_gate,optimal_set_undefined,,,,,,,,,,,0,20,,,0,0,0,0,50,False,False
c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0018_k04,4,conservative,0,C00->C02;C00->C05;X->C03;X->C04,fast_gate,optimal_set_undefined,,,,,,,,,,,0,20,,,0,0,0,0,50,False,False
c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0019_k04,4,conservative,0,C00->C04;C00->X;C02->C03;X->C02,fast_gate,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",local_up_fast,mpdag_criterion,True,False,1,C00;W,1.0645732495479638,0.7684165870526118,1.4529029681923424,20,20,1.1102230246251565e-16,1.1102230246251565e-16,50,0,0,0,50,True,True
c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0020_k04,4,conservative,0,C00->C04;C04->C05;X->C02;X->C04,fast_gate,optimal_set_undefined,,,,,,,,,,,0,20,,,0,0,0,0,50,False,False
c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0021_k04,4,conservative,0,C02->C03;C04->C05;X->C02;X->C03,fast_gate,optimal_set_undefined,,,,,,,,,,,0,20,,,0,0,0,0,50,False,False
c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0022_k04,4,conservative,0,C02->C03;C04->C05;X->C02;X->C04,fast_gate,optimal_set_undefined,,,,,,,,,,,0,20,,,0,0,0,0,50,False,False
c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0023_k04,4,conservative,0,C02->C03;C04->C05;X->C03;X->C04,fast_gate,optimal_set_undefined,,,,,,,,,,,0,20,,,0,0,0,0,50,False,False
c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0024_k05,5,conservative,0,C00->C02;C00->C05;X->C02;X->C03;X->C04,fast_gate,optimal_set_undefined,,,,,,,,,,,0,20,,,0,0,0,0,50,False,False
